Sıra No;Plaka;Fiş No;Firma Kodu;Firma Adı;Mal Kodu;Malzeme Adı;1.Tartı Tarih-Saat;2.Tartı Tarih-Saat;1.Tartı;2.Tartı;Net; 
5;B8143;17524;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 8:08:40;16-Aug-22 8:22:42;22900;66550;43650;
6;FKJ 817 XC;17530;1200101400018;HASIM FARAKWAI (KADUNA);KS02;3/4;16-Aug-22 8:40:11;16-Aug-22 8:51:12;14450;36650;22200;
7;B9126;17531;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 8:41:26;16-Aug-22 8:53:37;18350;62100;43750;
8;B9111;17532;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 8:43:40;16-Aug-22 8:55:46;18700;63200;44500;
9;B8966;17533;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 8:42:30;16-Aug-22 8:57:26;23050;61050;38000;
10;B9116;17534;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 8:47:18;16-Aug-22 8:59:44;18500;61950;43450;
11;B9123;17538;1200101400058;JULIUS BERGER SECTION 3 (KADUNA AGGREGATE);KS06;3/8;16-Aug-22 9:15:43;16-Aug-22 9:33:46;18550;60500;41950;
12;B7476;17539;1200101400058;JULIUS BERGER SECTION 3 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 9:26:29;16-Aug-22 9:36:42;21300;56450;35150;
13;B9114;17540;1200101400058;JULIUS BERGER SECTION 3 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 9:28:24;16-Aug-22 9:41:26;18500;58600;40100;
14;B9000;17543;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 9:50:09;16-Aug-22 10:05:08;23450;62800;39350;
15;B8966;17546;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 10:03:52;16-Aug-22 10:16:44;23100;60250;37150;
16;B9124;17548;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 10:13:09;16-Aug-22 10:27:25;18250;61450;43200;
17;B7431;17549;1200101400058;JULIUS BERGER SECTION 3 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 10:14:53;16-Aug-22 10:31:44;20200;54000;33800;
18;B9126;17550;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 10:26:11;16-Aug-22 10:39:45;18350;60150;41800;
19;B8143;17555;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 11:09:28;16-Aug-22 11:22:16;23000;61450;38450; 
21;B8023;17559;1200101400058;JULIUS BERGER SECTION 3 (KADUNA AGGREGATE);KS06;3/8;16-Aug-22 11:18:12;16-Aug-22 11:35:16;20350;49850;29500;
22;B9000;17560;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 11:24:19;16-Aug-22 11:37:14;23350;60600;37250;
23;B8966;17561;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 11:21:03;16-Aug-22 11:38:39;23200;60550;37350; 
26;B9124;17568;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 11:52:42;16-Aug-22 12:06:42;18300;60350;42050;
28;B9116;17570;1200101600010;JULIUS BERGER SECTION 2 (KADUNA AGGREGATE);KS03;S/DUST;16-Aug-22 11:54:26;16-Aug-22 12:10:09;18600;65100;46500;
